CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Engagement_Score,R_Score,F_Score,M_Score,Churn,Customer_Segment,Customer_Lifetime_Months,Monthly_Trans_Value,Monthly_Trans_Frequency,Monthly_Revenue_Interchange,Monthly_Revenue_Interest,Total_Monthly_Revenue,Retention_Rate,Expected_Lifetime_Months,Customer_Lifetime_Value,CLV_Percentile,Profitability_Tier,Acquisition_Cost,Total_Servicing_Cost,Total_Cost,Total_Revenue,Net_Profit,Profit_Margin_%,ROI_%,Value_Matrix
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0,12.208,3,1,1,0,Need Attention,34,87.67,1.50,2.19,0.00,2.19,0.76,25.82,56.58,Low,Standard,150,170,320,74.52,-245.48,-329.43,-76.71,Low Value - Grow
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785,1362,3423,0.739,1045,38,0.9,0.285,20.58,4,1,1,0,New Customers,42,87.08,3.17,2.18,20.43,22.61,0.90,37.97,858.43,High,Silver (Top 50%),150,210,360,949.50,589.50,62.09,163.75,High Value - Retain
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753,1811,942,0.977,1038,25,2.571,0.658,14.952,3,1,1,0,Need Attention,33,86.50,2.08,2.16,27.17,29.33,0.76,25.06,734.84,Medium,Bronze (Top 75%),150,165,315,967.81,652.81,67.45,207.24,Low Value - Grow
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451,1690,761,1.323,1596,26,1.6,0.69,16.984,1,1,1,0,Lost,48,133.00,2.17,3.33,25.35,28.67,0.68,32.64,935.86,High,Silver (Top 50%),150,240,390,1376.40,986.40,71.67,252.92,High Value - Retain
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923,2517,6406,1.726,1589,24,1.667,0.282,16.956,4,1,1,0,New Customers,36,132.42,2.00,3.31,37.75,41.07,0.90,32.55,1336.56,Premium,Gold (Top 25%),150,180,330,1478.36,1148.36,77.68,347.99,High Value - Retain
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650,1490,1160,1.75,1411,28,1,0.562,17.644,3,1,1,0,Need Attention,38,117.58,2.33,2.94,22.35,25.29,0.76,28.85,729.67,Medium,Bronze (Top 75%),150,190,340,961.00,621.00,64.62,182.65,Low Value - Grow
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555,1696,10859,0.519,1291,24,0.714,0.135,15.564,3,1,1,0,Need Attention,49,107.58,2.00,2.69,25.44,28.13,0.76,37.20,1046.55,High,Silver (Top 50%),150,245,395,1378.35,983.35,71.34,248.95,High Value - Retain
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520,1914,1606,0.51,1407,43,0.483,0.544,23.63,3,1,1,0,Need Attention,36,117.25,3.58,2.93,28.71,31.64,0.76,27.33,864.88,High,Silver (Top 50%),150,180,330,1139.09,809.09,71.03,245.18,High Value - Retain
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035,2298,737,1.724,1877,37,1.176,0.757,23.11,3,1,1,0,Need Attention,36,156.42,3.08,3.91,34.47,38.38,0.76,27.33,1049.09,High,Silver (Top 50%),150,180,330,1381.69,1051.69,76.12,318.70,High Value - Retain
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433,0,15433,0.865,966,22,1.2,0,13.264,2,1,1,0,Lost,36,80.50,1.83,2.01,0.00,2.01,0.68,24.48,49.26,Low,Standard,150,180,330,72.45,-257.55,-355.49,-78.05,Low Value - Grow
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672,886,2786,1.32,1464,28,0.556,0.241,17.656,2,1,1,0,Lost,49,122.00,2.33,3.05,13.29,16.34,0.68,33.32,544.39,Medium,Bronze (Top 75%),150,245,395,800.66,405.66,50.67,102.70,Low Value - Grow
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,5,4,3,7882,605,7277,1.052,704,16,0.143,0.077,9.616,1,1,1,1,Lost,56,58.67,1.33,1.47,9.08,10.54,0.68,38.08,401.39,Medium,Bronze (Top 75%),150,280,430,590.33,160.33,27.16,37.29,Low Value - Lost
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018,16.44,3,1,1,0,Need Attention,41,92.42,2.33,2.31,8.67,10.98,0.76,31.13,341.82,Low,Standard,150,205,355,450.20,95.20,21.15,26.82,Low Value - Grow
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355,17.59,4,1,1,0,New Customers,44,112.25,2.33,2.81,33.06,35.87,0.90,39.78,1426.75,Premium,Gold (Top 25%),150,220,370,1578.12,1208.12,76.55,326.52,High Value - Retain
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145,21.02,3,1,1,0,Need Attention,43,146.33,2.75,3.66,37.75,41.41,0.76,32.65,1352.10,Premium,Gold (Top 25%),150,215,365,1780.77,1415.77,79.50,387.88,High Value - Retain
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906,0,3906,1.214,1756,32,1,0,20.624,3,1,1,0,Need Attention,37,146.33,2.67,3.66,0.00,3.66,0.76,28.09,102.77,Low,Standard,150,185,335,135.36,-199.64,-147.49,-59.59,Low Value - Grow
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,2,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209,13.968,2,1,1,0,Lost,28,86.83,1.92,2.17,30.83,33.00,0.68,19.04,628.18,Medium,Bronze (Top 75%),150,140,290,923.88,633.88,68.61,218.58,Low Value - Grow
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0,17.78,3,1,1,0,Need Attention,30,120.33,2.33,3.01,0.00,3.01,0.76,22.78,68.52,Low,Standard,150,150,300,90.25,-209.75,-232.41,-69.92,Low Value - Grow
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283,1430,853,2.316,1741,27,0.588,0.626,18.564,3,1,1,0,Need Attention,45,145.08,2.25,3.63,21.45,25.08,0.76,34.17,856.82,High,Silver (Top 50%),150,225,375,1128.47,753.47,66.77,200.92,High Value - Retain
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548,2020,528,2.357,1719,27,1.7,0.793,18.476,3,1,1,0,Need Attention,52,143.25,2.25,3.58,30.30,33.88,0.76,39.48,1337.72,Premium,Gold (Top 25%),150,260,410,1761.82,1351.82,76.73,329.71,High Value - Retain
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074,16.27,2,1,1,0,Lost,40,101.42,2.25,2.54,21.53,24.06,0.68,27.20,654.38,Medium,Bronze (Top 75%),150,200,350,962.42,612.42,63.63,174.98,Low Value - Grow
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259,21.56,4,1,1,0,New Customers,40,95.00,3.33,2.38,18.40,20.78,0.90,36.16,751.47,Medium,Bronze (Top 75%),150,200,350,831.20,481.20,57.89,137.49,Low Value - Grow
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591,20.112,2,1,1,0,Lost,41,156.50,2.50,3.91,23.24,27.15,0.68,27.88,756.80,Medium,Bronze (Top 75%),150,205,355,1113.05,758.05,68.11,213.53,Low Value - Grow
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,11.02,2,1,1,1,Lost,40,58.75,1.58,1.47,12.12,13.59,0.68,27.20,369.58,Low,Standard,150,200,350,543.55,193.55,35.61,55.30,Low Value - Lost
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171,2179,992,1.224,1946,38,1.923,0.687,23.38,1,1,1,0,Lost,54,162.17,3.17,4.05,32.69,36.74,0.68,36.72,1348.92,Premium,Gold (Top 25%),150,270,420,1983.92,1563.92,78.83,372.36,High Value - Retain
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127,20.46,3,1,1,0,Need Attention,36,117.83,2.92,2.95,37.75,40.70,0.76,27.33,1112.52,High,Silver (Top 50%),150,180,330,1465.23,1135.23,77.48,344.01,High Value - Retain
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769,0,15769,1.041,602,15,0.364,0,9.01,2,1,1,1,Lost,36,50.17,1.25,1.25,0.00,1.25,0.68,24.48,30.70,Low,Standard,150,180,330,45.15,-284.85,-630.90,-86.32,Low Value - Lost
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667,17.41,1,1,1,0,Lost,36,87.67,2.67,2.19,33.00,35.19,0.68,24.48,861.40,High,Silver (Top 50%),150,180,330,1266.90,936.90,73.95,283.91,High Value - Retain
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802,2363,439,0.75,1295,40,0.6,0.843,21.98,3,1,1,0,Need Attention,36,107.92,3.33,2.70,35.45,38.14,0.76,27.33,1042.60,High,Silver (Top 50%),150,180,330,1373.15,1043.15,75.97,316.10,High Value - Retain
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422,18.096,3,1,1,0,Need Attention,50,118.67,2.42,2.97,28.20,31.17,0.76,37.96,1183.21,Premium,Gold (Top 25%),150,250,400,1558.33,1158.33,74.33,289.58,High Value - Retain
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,4,1,2,6273,978,5295,2.275,1359,25,1.083,0.156,16.44,4,1,1,0,New Customers,35,113.25,2.08,2.83,14.67,17.50,0.90,31.64,553.79,Medium,Bronze (Top 75%),150,175,325,612.54,287.54,46.94,88.47,Low Value - Grow
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525,15.872,1,1,1,0,Lost,34,97.33,2.25,2.43,26.29,28.73,0.68,23.12,664.13,Medium,Bronze (Top 75%),150,170,320,976.76,656.76,67.24,205.24,Low Value - Grow
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587,18.39,3,1,1,0,Need Attention,47,91.42,2.75,2.29,30.24,32.53,0.76,35.69,1160.70,Premium,Gold (Top 25%),150,235,385,1528.69,1143.69,74.82,297.06,High Value - Retain
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516,0,34516,0.763,691,15,0.5,0,9.16,1,1,1,1,Lost,35,57.58,1.25,1.44,0.00,1.44,0.68,23.80,34.26,Low,Standard,150,175,325,50.39,-274.61,-545.03,-84.50,Low Value - Lost
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211,17.064,2,1,1,0,Lost,33,109.67,2.33,2.74,18.77,21.51,0.68,22.44,482.56,Medium,Bronze (Top 75%),150,165,315,709.72,394.72,55.62,125.31,Low Value - Grow
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088,15.904,1,1,1,0,Lost,32,106.33,2.17,2.66,31.53,34.19,0.68,21.76,743.86,Medium,Bronze (Top 75%),150,160,310,1094.03,784.03,71.66,252.91,Low Value - Grow
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111,15.156,3,1,1,0,Need Attention,44,107.42,1.92,2.69,24.51,27.20,0.76,33.41,908.55,High,Silver (Top 50%),150,220,370,1196.60,826.60,69.08,223.40,High Value - Retain
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044,18.97,4,1,1,0,New Customers,38,107.75,2.67,2.69,22.72,25.42,0.90,34.36,873.27,High,Silver (Top 50%),150,190,340,965.91,625.91,64.80,184.09,High Value - Retain
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276,20.01,2,1,1,0,Lost,52,112.75,2.92,2.82,27.26,30.07,0.68,35.36,1063.30,High,Silver (Top 50%),150,260,410,1563.84,1153.84,73.78,281.42,High Value - Retain
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704,16.328,2,1,1,0,Lost,20,94.33,2.33,2.36,22.02,24.38,0.68,13.60,331.51,Low,Standard,150,100,250,487.57,237.57,48.72,95.03,Low Value - Grow
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687,1107,580,1.715,1670,17,2.4,0.656,14.28,3,1,1,0,Need Attention,32,139.17,1.42,3.48,16.61,20.08,0.76,24.30,487.98,Medium,Bronze (Top 75%),150,160,310,642.69,332.69,51.77,107.32,Low Value - Grow
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300,1330,23970,1.072,837,15,2,0.053,10.15,3,1,1,0,Need Attention,38,69.75,1.25,1.74,19.95,21.69,0.76,28.85,625.92,Medium,Bronze (Top 75%),150,190,340,824.36,484.36,58.76,142.46,Low Value - Grow
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051,23.4,3,1,1,0,Need Attention,42,129.17,3.42,3.23,26.45,29.67,0.76,31.89,946.30,High,Silver (Top 50%),150,210,360,1246.32,886.32,71.11,246.20,High Value - Retain
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467,21.16,2,1,1,0,Lost,42,128.33,3.00,3.21,15.51,18.72,0.68,28.56,534.54,Medium,Bronze (Top 75%),150,210,360,786.17,426.17,54.21,118.38,Low Value - Grow
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910,2030,880,0.769,1256,21,0.4,0.698,14.224,3,1,1,0,Need Attention,43,104.67,1.75,2.62,30.45,33.07,0.76,32.65,1079.59,High,Silver (Top 50%),150,215,365,1421.87,1056.87,74.33,289.55,High Value - Retain
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067,20.38,3,1,1,0,Need Attention,37,116.17,2.92,2.90,22.92,25.82,0.76,28.09,725.49,Medium,Bronze (Top 75%),150,185,335,955.49,620.49,64.94,185.22,Low Value - Grow
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079,15.564,2,1,1,0,Lost,35,111.75,2.00,2.79,28.98,31.77,0.68,23.80,756.14,Medium,Bronze (Top 75%),150,175,325,1112.08,787.08,70.78,242.18,Low Value - Grow
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287,18.956,2,1,1,0,Lost,36,107.42,2.75,2.69,22.72,25.41,0.68,24.48,621.98,Medium,Bronze (Top 75%),150,180,330,914.77,584.77,63.93,177.20,Low Value - Grow
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36,14.05,1,1,1,0,Lost,36,92.67,1.92,2.32,37.75,40.07,0.68,24.48,980.85,High,Silver (Top 50%),150,180,330,1442.58,1112.58,77.12,337.15,High Value - Retain
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256,32.56,1,2,2,0,Hibernating,29,194.92,4.75,4.87,27.02,31.89,0.61,17.59,561.02,Medium,Bronze (Top 75%),150,145,295,924.75,629.75,68.10,213.47,Low Value - Grow
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536,1823,713,0.703,1468,23,0.353,0.719,16.072,4,1,1,0,New Customers,30,122.33,1.92,3.06,27.35,30.40,0.90,27.12,824.61,High,Silver (Top 50%),150,150,300,912.10,612.10,67.11,204.03,High Value - Retain
